[Round 0, Step 1] Player 1 Tank 0 (Chaser) -> Action: RotateLeft90 | Ammo: 20, Cooldown: 0
[Round 2, Step 7] Player 7 Tank 0 (Chaser) -> Action: MoveForward | Ammo: 20, Cooldown: 0
[Round 2, Step 8] Player 2 Tank 0 (Chaser) -> Action: MoveForward | Ammo: 20, Cooldown: 0
[Round 2, Step 9] Player 6 Tank 0 (Chaser) -> Action: MoveForward | Ammo: 20, Cooldown: 0
[Round 2, Step 10] Player 5 Tank 0 (Chaser) -> Action: MoveForward | Ammo: 20, Cooldown: 0
[Round 2, Step 11] Player 9 Tank 0 (Chaser) -> Action: MoveForward | Ammo: 20, Cooldown: 0
[Round 2, Step 12] Player 9 Tank 1 (Sniper) -> Action: GetBattleInfo | Ammo: 20, Cooldown: 0
[Round 3, Step 1] Player 1 Tank 0 (Chaser) -> Action: MoveForward | Ammo: 20, Cooldown: 0
[Round 3, Step 2] Player 1 Tank 1 (Sniper) -> Action: Shoot | Ammo: 20, Cooldown: 0
[Round 3, Step 3] Player 8 Tank 0 (Chaser) -> Action: RotateLeft45 | Ammo: 20, Cooldown: 0
[Round 3, Step 4] Player 8 Tank 1 (Sniper) -> Action: GetBattleInfo | Ammo: 20, Cooldown: 0
[Round 3, Step 5] Player 3 Tank 0 (Chaser) -> Action: DoNothing | Ammo: 20, Cooldown: 0
[Round 3, Step 6] Player 4 Tank 0 (Chaser) -> Action: RotateRight45 | Ammo: 20, Cooldown: 0
[Round 3, Step 7] Player 7 Tank 0 (Chaser) -> Action: RotateLeft45 | Ammo: 20, Cooldown: 0
[Round 3, Step 8] Player 2 Tank 0 (Chaser) -> Action: RotateRight45 | Ammo: 20, Cooldown: 0
[Round 3, Step 9] Player 6 Tank 0 (Chaser) -> Action: RotateLeft45 | Ammo: 20, Cooldown: 0
[Round 3, Step 10] Player 5 Tank 0 (Chaser) -> Action: RotateLeft45 | Ammo: 20, Cooldown: 0
[Round 3, Step 11] Player 9 Tank 0 (Chaser) -> Action: MoveForward | Ammo: 20, Cooldown: 0
[Round 3, Step 12] Player 9 Tank 1 (Sniper) -> Action: GetBattleInfo | Ammo: 20, Cooldown: 0
[Round 4, Step 1] Player 1 Tank 0 (Chaser) -> Action: RotateRight45 | Ammo: 20, Cooldown: 0
[Round 4, Step 2] Player 1 Tank 1 (Sniper) -> Action: DoNothing | Ammo: 19, Cooldown: 4
[Round 4, Step 3] Player 8 Tank 0 (Chaser) -> Action: RotateLeft90 | Ammo: 20, Cooldown: 0
[Round 4, Step 4] Player 8 Tank 1 (Sniper) -> Action: GetBattleInfo | Ammo: 20, Cooldown: 0
[Round 4, Step 5] Player 3 Tank 0 (Chaser) -> Action: RotateRight45 | Ammo: 20, Cooldown: 0
[Round 4, Step 6] Player 4 Tank 0 (Chaser) -> Action: RotateRight45 | Ammo: 20, Cooldown: 0
[Round 4, Step 7] Player 7 Tank 0 (Chaser) -> Action: RotateLeft90 | Ammo: 20, Cooldown: 0
[Round 4, Step 8] Player 2 Tank 0 (Chaser) -> Action: RotateLeft45 | Ammo: 20, Cooldown: 0
[Round 4, Step 9] Player 6 Tank 0 (Chaser) -> Action: RotateRight90 | Ammo: 20, Cooldown: 0
[Round 4, Step 10] Player 5 Tank 0 (Chaser) -> Action: RotateRight45 | Ammo: 20, Cooldown: 0
[Round 4, Step 11] Player 9 Tank 0 (Chaser) -> Action: RotateRight90 | Ammo: 20, Cooldown: 0
[Round 4, Step 12] Player 9 Tank 1 (Sniper) -> Action: GetBattleInfo | Ammo: 20, Cooldown: 0
[Round 5, Step 1] Player 1 Tank 0 (Chaser) -> Action: MoveForward | Ammo: 20, Cooldown: 0
[Round 5, Step 2] Player 1 Tank 1 (Sniper) -> Action: DoNothing | Ammo: 19, Cooldown: 3
[Round 5, Step 3] Player 8 Tank 0 (Chaser) -> Action: MoveForward | Ammo: 20, Cooldown: 0
[Round 5, Step 4] Player 8 Tank 1 (Sniper) -> Action: GetBattleInfo | Ammo: 20, Cooldown: 0
[Round 5, Step 5] Player 3 Tank 0 (Chaser) -> Action: MoveForward | Ammo: 20, Cooldown: 0
[Round 5, Step 6] Player 4 Tank 0 (Chaser) -> Action: MoveForward | Ammo: 20, Cooldown: 0
[Round 5, Step 7] Player 7 Tank 0 (Chaser) -> Action: MoveForward | Ammo: 20, Cooldown: 0
[Round 5, Step 8] Player 2 Tank 0 (Chaser) -> Action: MoveForward | Ammo: 20, Cooldown: 0
[Round 5, Step 9] Player 6 Tank 0 (Chaser) -> Action: RotateRight45 | Ammo: 20, Cooldown: 0
[Round 5, Step 10] Player 5 Tank 0 (Chaser) -> Action: MoveForward | Ammo: 20, Cooldown: 0
[Round 5, Step 11] Player 9 Tank 0 (Chaser) -> Action: RotateRight45 | Ammo: 20, Cooldown: 0
[Round 5, Step 12] Player 9 Tank 1 (Sniper) -> Action: GetBattleInfo | Ammo: 20, Cooldown: 0
[Round 6, Step 1] Player 1 Tank 0 (Chaser) -> Action: MoveForward | Ammo: 20, Cooldown: 0
[Round 6, Step 2] Player 1 Tank 1 (Sniper) -> Action: DoNothing | Ammo: 19, Cooldown: 2
[Round 6, Step 3] Player 8 Tank 0 (Chaser) -> Action: DoNothing | Ammo: 20, Cooldown: 0
[Round 6, Step 4] Player 8 Tank 1 (Sniper) -> Action: GetBattleInfo | Ammo: 20, Cooldown: 0
[Round 6, Step 5] Player 3 Tank 0 (Chaser) -> Action: DoNothing | Ammo: 20, Cooldown: 0
[Round 6, Step 6] Player 4 Tank 0 (Chaser) -> Action: DoNothing | Ammo: 20, Cooldown: 0
[Round 6, Step 7] Player 7 Tank 0 (Chaser) -> Action: DoNothing | Ammo: 20, Cooldown: 0
[Round 6, Step 8] Player 2 Tank 0 (Chaser) -> Action: MoveForward | Ammo: 20, Cooldown: 0
[Round 6, Step 9] Player 6 Tank 0 (Chaser) -> Action: MoveForward | Ammo: 20, Cooldown: 0
[Round 6, Step 10] Player 5 Tank 0 (Chaser) -> Action: MoveForward | Ammo: 20, Cooldown: 0
[Round 6, Step 11] Player 9 Tank 0 (Chaser) -> Action: MoveForward | Ammo: 20, Cooldown: 0
[Round 6, Step 12] Player 9 Tank 1 (Sniper) -> Action: GetBattleInfo | Ammo: 20, Cooldown: 0
[Round 7, Step 1] Player 1 Tank 0 (Chaser) -> Action: DoNothing | Ammo: 20, Cooldown: 0
[Round 7, Step 2] Player 1 Tank 1 (Sniper) -> Action: DoNothing | Ammo: 19, Cooldown: 1
[Round 7, Step 3] Player 8 Tank 0 (Chaser) -> Action: DoNothing | Ammo: 20, Cooldown: 0
[Round 7, Step 4] Player 8 Tank 1 (Sniper) -> Action: GetBattleInfo | Ammo: 20, Cooldown: 0
[Round 7, Step 5] Player 3 Tank 0 (Chaser) -> Action: DoNothing | Ammo: 20, Cooldown: 0
[Round 7, Step 6] Player 4 Tank 0 (Chaser) -> Action: DoNothing | Ammo: 20, Cooldown: 0
[Round 7, Step 7] Player 7 Tank 0 (Chaser) -> Action: DoNothing | Ammo: 20, Cooldown: 0
[Round 7, Step 8] Player 2 Tank 0 (Chaser) -> Action: DoNothing | Ammo: 20, Cooldown: 0
[Round 7, Step 9] Player 6 Tank 0 (Chaser) -> Action: DoNothing | Ammo: 20, Cooldown: 0
[Round 7, Step 10] Player 5 Tank 0 (Chaser) -> Action: RotateLeft45 | Ammo: 20, Cooldown: 0
[Round 7, Step 11] Player 9 Tank 0 (Chaser) -> Action: DoNothing | Ammo: 20, Cooldown: 0
[Round 7, Step 12] Player 9 Tank 1 (Sniper) -> Action: GetBattleInfo | Ammo: 20, Cooldown: 0
[Round 8, Step 1] Player 1 Tank 0 (Chaser) -> Action: RotateLeft45 | Ammo: 20, Cooldown: 0
[Round 8, Step 2] Player 1 Tank 1 (Sniper) -> Action: Shoot | Ammo: 19, Cooldown: 0
[Round 8, Step 3] Player 8 Tank 0 (Chaser) -> Action: RotateLeft90 | Ammo: 20, Cooldown: 0
[Round 8, Step 4] Player 8 Tank 1 (Sniper) -> Action: GetBattleInfo | Ammo: 20, Cooldown: 0
[Round 8, Step 5] Player 3 Tank 0 (Chaser) -> Action: RotateLeft90 | Ammo: 20, Cooldown: 0
[Round 8, Step 6] Player 4 Tank 0 (Chaser) -> Action: RotateLeft90 | Ammo: 20, Cooldown: 0
[Round 8, Step 7] Player 7 Tank 0 (Chaser) -> Action: RotateLeft90 | Ammo: 20, Cooldown: 0
[Round 8, Step 8] Player 2 Tank 0 (Chaser) -> Action: RotateLeft90 | Ammo: 20, Cooldown: 0
[Round 8, Step 9] Player 6 Tank 0 (Chaser) -> Action: RotateLeft90 | Ammo: 20, Cooldown: 0
[Round 8, Step 10] Player 5 Tank 0 (Chaser) -> Action: MoveForward | Ammo: 20, Cooldown: 0
[Round 8, Step 11] Player 9 Tank 0 (Chaser) -> Action: RotateLeft90 | Ammo: 20, Cooldown: 0
[Round 8, Step 12] Player 9 Tank 1 (Sniper) -> Action: GetBattleInfo | Ammo: 20, Cooldown: 0
[Round 9, Step 1] Player 1 Tank 0 (Chaser) -> Action: MoveForward | Ammo: 20, Cooldown: 0
[Round 9, Step 2] Player 1 Tank 1 (Sniper) -> Action: DoNothing | Ammo: 18, Cooldown: 4
[Round 9, Step 3] Player 8 Tank 0 (Chaser) -> Action: RotateLeft90 | Ammo: 20, Cooldown: 0
[Round 9, Step 4] Player 8 Tank 1 (Sniper) -> Action: GetBattleInfo | Ammo: 20, Cooldown: 0
[Round 9, Step 5] Player 3 Tank 0 (Chaser) -> Action: RotateLeft90 | Ammo: 20, Cooldown: 0
[Round 9, Step 6] Player 4 Tank 0 (Chaser) -> Action: RotateLeft90 | Ammo: 20, Cooldown: 0
[Round 9, Step 7] Player 7 Tank 0 (Chaser) -> Action: RotateLeft90 | Ammo: 20, Cooldown: 0
[Round 9, Step 8] Player 2 Tank 0 (Chaser) -> Action: RotateLeft90 | Ammo: 20, Cooldown: 0
[Round 9, Step 9] Player 6 Tank 0 (Chaser) -> Action: RotateLeft90 | Ammo: 20, Cooldown: 0
[Round 9, Step 10] Player 5 Tank 0 (Chaser) -> Action: DoNothing | Ammo: 20, Cooldown: 0
[Round 9, Step 11] Player 9 Tank 0 (Chaser) -> Action: RotateLeft90 | Ammo: 20, Cooldown: 0
[Round 9, Step 12] Player 9 Tank 1 (Sniper) -> Action: GetBattleInfo | Ammo: 20, Cooldown: 0
[Round 10, Step 1] Player 1 Tank 0 (Chaser) -> Action: DoNothing | Ammo: 20, Cooldown: 0
[Round 10, Step 2] Player 1 Tank 1 (Sniper) -> Action: DoNothing | Ammo: 18, Cooldown: 3
[Round 10, Step 3] Player 8 Tank 0 (Chaser) -> Action: MoveForward | Ammo: 20, Cooldown: 0
[Round 10, Step 4] Player 8 Tank 1 (Sniper) -> Action: GetBattleInfo | Ammo: 20, Cooldown: 0
[Round 10, Step 5] Player 3 Tank 0 (Chaser) -> Action: MoveForward | Ammo: 20, Cooldown: 0
[Round 10, Step 6] Player 4 Tank 0 (Chaser) -> Action: MoveForward | Ammo: 20, Cooldown: 0
[Round 10, Step 7] Player 7 Tank 0 (Chaser) -> Action: MoveForward | Ammo: 20, Cooldown: 0
[Round 10, Step 8] Player 2 Tank 0 (Chaser) -> Action: MoveForward | Ammo: 20, Cooldown: 0
[Round 10, Step 9] Player 6 Tank 0 (Chaser) -> Action: MoveForward | Ammo: 20, Cooldown: 0
[Round 10, Step 10] Player 5 Tank 0 (Chaser) -> Action: DoNothing | Ammo: 20, Cooldown: 0
[Round 10, Step 11] Player 9 Tank 0 (Chaser) -> Action: MoveForward | Ammo: 20, Cooldown: 0
[Round 10, Step 12] Player 9 Tank 1 (Sniper) -> Action: GetBattleInfo | Ammo: 20, Cooldown: 0
[Round 11, Step 1] Player 1 Tank 0 (Chaser) -> Action: DoNothing | Ammo: 20, Cooldown: 0
[Round 11, Step 2] Player 1 Tank 1 (Sniper) -> Action: DoNothing | Ammo: 18, Cooldown: 2
[Round 11, Step 3] Player 8 Tank 0 (Chaser) -> Action: DoNothing | Ammo: 20, Cooldown: 0
[Round 11, Step 4] Player 8 Tank 1 (Sniper) -> Action: GetBattleInfo | Ammo: 20, Cooldown: 0
[Round 11, Step 5] Player 3 Tank 0 (Chaser) -> Action: DoNothing | Ammo: 20, Cooldown: 0
[Round 11, Step 6] Player 4 Tank 0 (Chaser) -> Action: DoNothing | Ammo: 20, Cooldown: 0
[Round 11, Step 7] Player 7 Tank 0 (Chaser) -> Action: DoNothing | Ammo: 20, Cooldown: 0
[Round 11, Step 8] Player 2 Tank 0 (Chaser) -> Action: MoveForward | Ammo: 20, Cooldown: 0
[Round 11, Step 9] Player 6 Tank 0 (Chaser) -> Action: DoNothing | Ammo: 20, Cooldown: 0
[Round 11, Step 10] Player 5 Tank 0 (Chaser) -> Action: DoNothing | Ammo: 20, Cooldown: 0
[Round 11, Step 11] Player 9 Tank 0 (Chaser) -> Action: DoNothing | Ammo: 20, Cooldown: 0
[Round 11, Step 12] Player 9 Tank 1 (Sniper) -> Action: GetBattleInfo | Ammo: 20, Cooldown: 0
[Round 12, Step 1] Player 1 Tank 0 (Chaser) -> Action: RotateLeft90 | Ammo: 20, Cooldown: 0
[Round 12, Step 2] Player 1 Tank 1 (Sniper) -> Action: DoNothing | Ammo: 18, Cooldown: 1
[Round 12, Step 3] Player 8 Tank 0 (Chaser) -> Action: RotateLeft90 | Ammo: 20, Cooldown: 0
[Round 12, Step 4] Player 8 Tank 1 (Sniper) -> Action: GetBattleInfo | Ammo: 20, Cooldown: 0
[Round 12, Step 5] Player 3 Tank 0 (Chaser) -> Action: RotateLeft90 | Ammo: 20, Cooldown: 0
[Round 12, Step 6] Player 4 Tank 0 (Chaser) -> Action: RotateLeft90 | Ammo: 20, Cooldown: 0
[Round 12, Step 7] Player 7 Tank 0 (Chaser) -> Action: RotateLeft90 | Ammo: 20, Cooldown: 0
[Round 12, Step 8] Player 2 Tank 0 (Chaser) -> Action: DoNothing | Ammo: 20, Cooldown: 0
[Round 12, Step 9] Player 6 Tank 0 (Chaser) -> Action: RotateLeft90 | Ammo: 20, Cooldown: 0
[Round 12, Step 10] Player 5 Tank 0 (Chaser) -> Action: RotateLeft90 | Ammo: 20, Cooldown: 0
[Round 12, Step 11] Player 9 Tank 0 (Chaser) -> Action: RotateLeft90 | Ammo: 20, Cooldown: 0
[Round 12, Step 12] Player 9 Tank 1 (Sniper) -> Action: GetBattleInfo | Ammo: 20, Cooldown: 0
[Round 13, Step 1] Player 1 Tank 0 (Chaser) -> Action: RotateLeft90 | Ammo: 20, Cooldown: 0
[Round 13, Step 2] Player 1 Tank 1 (Sniper) -> Action: Shoot | Ammo: 18, Cooldown: 0
[Round 13, Step 3] Player 8 Tank 0 (Chaser) -> Action: RotateLeft90 | Ammo: 20, Cooldown: 0
[Round 13, Step 4] Player 8 Tank 1 (Sniper) -> Action: GetBattleInfo | Ammo: 20, Cooldown: 0
[Round 13, Step 5] Player 3 Tank 0 (Chaser) -> Action: RotateLeft90 | Ammo: 20, Cooldown: 0
[Round 13, Step 6] Player 4 Tank 0 (Chaser) -> Action: RotateLeft90 | Ammo: 20, Cooldown: 0
[Round 13, Step 7] Player 7 Tank 0 (Chaser) -> Action: RotateLeft90 | Ammo: 20, Cooldown: 0
[Round 13, Step 8] Player 2 Tank 0 (Chaser) -> Action: DoNothing | Ammo: 20, Cooldown: 0
[Round 13, Step 9] Player 6 Tank 0 (Chaser) -> Action: RotateLeft90 | Ammo: 20, Cooldown: 0
[Round 13, Step 10] Player 5 Tank 0 (Chaser) -> Action: RotateLeft90 | Ammo: 20, Cooldown: 0
[Round 13, Step 11] Player 9 Tank 0 (Chaser) -> Action: RotateLeft90 | Ammo: 20, Cooldown: 0
[Round 13, Step 12] Player 9 Tank 1 (Sniper) -> Action: GetBattleInfo | Ammo: 20, Cooldown: 0
[Round 14, Step 1] Player 1 Tank 0 (Chaser) -> Action: MoveForward | Ammo: 20, Cooldown: 0
[Round 14, Step 2] Player 1 Tank 1 (Sniper) -> Action: DoNothing | Ammo: 17, Cooldown: 4
[Round 14, Step 3] Player 8 Tank 0 (Chaser) -> Action: MoveForward | Ammo: 20, Cooldown: 0
[Round 14, Step 4] Player 8 Tank 1 (Sniper) -> Action: GetBattleInfo | Ammo: 20, Cooldown: 0
[Round 14, Step 5] Player 3 Tank 0 (Chaser) -> Action: MoveForward | Ammo: 20, Cooldown: 0
[Round 14, Step 6] Player 4 Tank 0 (Chaser) -> Action: MoveForward | Ammo: 20, Cooldown: 0
[Round 14, Step 7] Player 7 Tank 0 (Chaser) -> Action: MoveForward | Ammo: 20, Cooldown: 0
[Round 14, Step 8] Player 2 Tank 0 (Chaser) -> Action: DoNothing | Ammo: 20, Cooldown: 0
[Round 14, Step 9] Player 6 Tank 0 (Chaser) -> Action: MoveForward | Ammo: 20, Cooldown: 0
[Round 14, Step 10] Player 5 Tank 0 (Chaser) -> Action: MoveForward | Ammo: 20, Cooldown: 0
[Round 14, Step 11] Player 9 Tank 0 (Chaser) -> Action: MoveForward | Ammo: 20, Cooldown: 0
[Round 14, Step 12] Player 9 Tank 1 (Sniper) -> Action: GetBattleInfo | Ammo: 20, Cooldown: 0
[Round 15, Step 1] Player 1 Tank 0 (Chaser) -> Action: DoNothing | Ammo: 20, Cooldown: 0
[Round 15, Step 2] Player 1 Tank 1 (Sniper) -> Action: DoNothing | Ammo: 17, Cooldown: 3
[Round 15, Step 3] Player 8 Tank 0 (Chaser) -> Action: DoNothing | Ammo: 20, Cooldown: 0
[Round 15, Step 4] Player 8 Tank 1 (Sniper) -> Action: GetBattleInfo | Ammo: 20, Cooldown: 0
[Round 15, Step 5] Player 3 Tank 0 (Chaser) -> Action: DoNothing | Ammo: 20, Cooldown: 0
[Round 15, Step 6] Player 4 Tank 0 (Chaser) -> Action: DoNothing | Ammo: 20, Cooldown: 0
[Round 15, Step 7] Player 7 Tank 0 (Chaser) -> Action: DoNothing | Ammo: 20, Cooldown: 0
[Round 15, Step 8] Player 2 Tank 0 (Chaser) -> Action: DoNothing | Ammo: 20, Cooldown: 0
[Round 15, Step 9] Player 6 Tank 0 (Chaser) -> Action: DoNothing | Ammo: 20, Cooldown: 0
[Round 15, Step 10] Player 5 Tank 0 (Chaser) -> Action: DoNothing | Ammo: 20, Cooldown: 0
[Round 15, Step 11] Player 9 Tank 0 (Chaser) -> Action: DoNothing | Ammo: 20, Cooldown: 0
[Round 15, Step 12] Player 9 Tank 1 (Sniper) -> Action: GetBattleInfo | Ammo: 20, Cooldown: 0
[Round 16, Step 1] Player 1 Tank 0 (Chaser) -> Action: DoNothing | Ammo: 20, Cooldown: 0
[Round 16, Step 2] Player 1 Tank 1 (Sniper) -> Action: DoNothing | Ammo: 17, Cooldown: 2
[Round 16, Step 3] Player 8 Tank 0 (Chaser) -> Action: RotateLeft90 | Ammo: 20, Cooldown: 0
[Round 16, Step 4] Player 8 Tank 1 (Sniper) -> Action: GetBattleInfo | Ammo: 20, Cooldown: 0
[Round 16, Step 5] Player 3 Tank 0 (Chaser) -> Action: RotateLeft90 | Ammo: 20, Cooldown: 0
[Round 16, Step 6] Player 4 Tank 0 (Chaser) -> Action: RotateLeft90 | Ammo: 20, Cooldown: 0
[Round 16, Step 7] Player 7 Tank 0 (Chaser) -> Action: RotateLeft90 | Ammo: 20, Cooldown: 0
[Round 16, Step 8] Player 2 Tank 0 (Chaser) -> Action: RotateLeft45 | Ammo: 20, Cooldown: 0
[Round 16, Step 9] Player 6 Tank 0 (Chaser) -> Action: RotateLeft90 | Ammo: 20, Cooldown: 0
[Round 16, Step 10] Player 5 Tank 0 (Chaser) -> Action: RotateLeft90 | Ammo: 20, Cooldown: 0
[Round 16, Step 11] Player 9 Tank 0 (Chaser) -> Action: RotateLeft90 | Ammo: 20, Cooldown: 0
[Round 16, Step 12] Player 9 Tank 1 (Sniper) -> Action: GetBattleInfo | Ammo: 20, Cooldown: 0
[Round 17, Step 1] Player 1 Tank 0 (Chaser) -> Action: DoNothing | Ammo: 20, Cooldown: 0
[Round 17, Step 2] Player 1 Tank 1 (Sniper) -> Action: DoNothing | Ammo: 17, Cooldown: 1
[Round 17, Step 3] Player 8 Tank 0 (Chaser) -> Action: RotateLeft90 | Ammo: 20, Cooldown: 0
[Round 17, Step 4] Player 8 Tank 1 (Sniper) -> Action: GetBattleInfo | Ammo: 20, Cooldown: 0
[Round 17, Step 5] Player 3 Tank 0 (Chaser) -> Action: RotateLeft90 | Ammo: 20, Cooldown: 0
[Round 17, Step 6] Player 4 Tank 0 (Chaser) -> Action: RotateLeft90 | Ammo: 20, Cooldown: 0
[Round 17, Step 7] Player 7 Tank 0 (Chaser) -> Action: RotateLeft90 | Ammo: 20, Cooldown: 0
[Round 17, Step 8] Player 2 Tank 0 (Chaser) -> Action: MoveForward | Ammo: 20, Cooldown: 0
[Round 17, Step 9] Player 6 Tank 0 (Chaser) -> Action: RotateLeft90 | Ammo: 20, Cooldown: 0
[Round 17, Step 10] Player 5 Tank 0 (Chaser) -> Action: RotateLeft90 | Ammo: 20, Cooldown: 0
[Round 17, Step 11] Player 9 Tank 0 (Chaser) -> Action: RotateLeft90 | Ammo: 20, Cooldown: 0
[Round 17, Step 12] Player 9 Tank 1 (Sniper) -> Action: GetBattleInfo | Ammo: 20, Cooldown: 0
[Round 18, Step 1] Player 1 Tank 0 (Chaser) -> Action: DoNothing | Ammo: 20, Cooldown: 0
[Round 18, Step 2] Player 1 Tank 1 (Sniper) -> Action: Shoot | Ammo: 17, Cooldown: 0
[Round 18, Step 3] Player 8 Tank 0 (Chaser) -> Action: MoveForward | Ammo: 20, Cooldown: 0
[Round 18, Step 4] Player 8 Tank 1 (Sniper) -> Action: GetBattleInfo | Ammo: 20, Cooldown: 0
[Round 18, Step 5] Player 3 Tank 0 (Chaser) -> Action: MoveForward | Ammo: 20, Cooldown: 0
[Round 18, Step 6] Player 4 Tank 0 (Chaser) -> Action: MoveForward | Ammo: 20, Cooldown: 0
[Round 18, Step 7] Player 7 Tank 0 (Chaser) -> Action: MoveForward | Ammo: 20, Cooldown: 0
[Round 18, Step 8] Player 2 Tank 0 (Chaser) -> Action: DoNothing | Ammo: 20, Cooldown: 0
[Round 18, Step 9] Player 6 Tank 0 (Chaser) -> Action: MoveForward | Ammo: 20, Cooldown: 0
[Round 18, Step 10] Player 5 Tank 0 (Chaser) -> Action: MoveForward | Ammo: 20, Cooldown: 0
[Round 18, Step 11] Player 9 Tank 0 (Chaser) -> Action: MoveForward | Ammo: 20, Cooldown: 0
[Round 18, Step 12] Player 9 Tank 1 (Sniper) -> Action: GetBattleInfo | Ammo: 20, Cooldown: 0
[Round 19, Step 1] Player 1 Tank 0 (Chaser) -> Action: DoNothing | Ammo: 20, Cooldown: 0
[Round 19, Step 2] Player 1 Tank 1 (Sniper) -> Action: DoNothing | Ammo: 16, Cooldown: 4
[Round 19, Step 3] Player 8 Tank 0 (Chaser) -> Action: DoNothing | Ammo: 20, Cooldown: 0
[Round 19, Step 4] Player 8 Tank 1 (Sniper) -> Action: GetBattleInfo | Ammo: 20, Cooldown: 0
[Round 19, Step 5] Player 3 Tank 0 (Chaser) -> Action: DoNothing | Ammo: 20, Cooldown: 0
[Round 19, Step 6] Player 4 Tank 0 (Chaser) -> Action: DoNothing | Ammo: 20, Cooldown: 0
[Round 19, Step 7] Player 7 Tank 0 (Chaser) -> Action: DoNothing | Ammo: 20, Cooldown: 0
[Round 19, Step 8] Player 2 Tank 0 (Chaser) -> Action: DoNothing | Ammo: 20, Cooldown: 0
[Round 19, Step 9] Player 6 Tank 0 (Chaser) -> Action: DoNothing | Ammo: 20, Cooldown: 0
[Round 19, Step 10] Player 5 Tank 0 (Chaser) -> Action: DoNothing | Ammo: 20, Cooldown: 0
[Round 19, Step 11] Player 9 Tank 0 (Chaser) -> Action: DoNothing | Ammo: 20, Cooldown: 0
[Round 19, Step 12] Player 9 Tank 1 (Sniper) -> Action: GetBattleInfo | Ammo: 20, Cooldown: 0
[Round 20, Step 1] Player 1 Tank 0 (Chaser) -> Action: DoNothing | Ammo: 20, Cooldown: 0
[Round 20, Step 2] Player 1 Tank 1 (Sniper) -> Action: DoNothing | Ammo: 16, Cooldown: 3
